iter	MultiClass
0	2.222355592
1	2.104546582
2	2.016920284
3	1.949393114
4	1.894017747
5	1.84995233
6	1.81311715
7	1.780857848
8	1.753765887
9	1.728986759
10	1.709433562
11	1.69096339
12	1.675424674
13	1.663145092
14	1.651156459
15	1.640278224
16	1.63189739
17	1.624123344
18	1.616661087
19	1.610095739
20	1.604022597
21	1.598685254
22	1.593768245
23	1.588226815
24	1.58462394
25	1.580079655
26	1.576078601
27	1.573235937
28	1.570176549
29	1.567410005
30	1.564416873
31	1.562949869
32	1.56079057
33	1.559118329
34	1.557591515
35	1.555484378
36	1.554426207
37	1.552925234
38	1.551512108
39	1.549396081
40	1.548700497
41	1.547457727
42	1.545976922
43	1.545052382
44	1.54419487
45	1.543130548
46	1.54214293
47	1.540752746
48	1.53947209
49	1.538474396
50	1.537977292
51	1.537330765
52	1.536580075
53	1.536040089
54	1.53541701
55	1.533991502
56	1.533198222
57	1.532118777
58	1.531344988
59	1.530851173
60	1.530195133
61	1.529454639
62	1.52862035
63	1.528294136
64	1.527766681
65	1.527361634
66	1.526989395
67	1.526445328
68	1.525492646
69	1.525234186
70	1.524925945
71	1.524517096
72	1.524099047
73	1.523497245
74	1.523179371
75	1.522740793
76	1.522497051
77	1.521982578
78	1.521576057
79	1.521207312
80	1.520836875
81	1.520573236
82	1.520055489
83	1.518652585
84	1.518480933
85	1.518202782
86	1.517966523
87	1.517891988
88	1.51745155
89	1.517207557
90	1.516813226
91	1.516452423
92	1.516128111
93	1.515963193
94	1.515524877
95	1.515469119
96	1.515118218
97	1.514895757
98	1.514696115
99	1.514353311
100	1.513649007
101	1.513041212
102	1.512998501
103	1.51278188
104	1.512522959
105	1.512206447
106	1.512051884
107	1.51137073
108	1.511129908
109	1.510695858
110	1.509897768
111	1.509656277
112	1.509417069
113	1.509154745
114	1.508910933
115	1.508551695
116	1.507856574
117	1.507510013
118	1.507264592
119	1.506438195
120	1.506155384
121	1.505551751
122	1.505366182
123	1.505188259
124	1.504794793
125	1.504692077
126	1.504424298
127	1.504102394
128	1.503811309
129	1.503127729
130	1.502515601
131	1.501992735
132	1.501841738
133	1.501497321
134	1.501412887
135	1.500680889
136	1.500453875
137	1.500006702
138	1.499727534
139	1.499427417
140	1.499074357
141	1.498917242
142	1.498492907
143	1.498087081
144	1.49775647
145	1.4975087
146	1.497104502
147	1.496890542
148	1.496737744
149	1.496543423
150	1.496267796
151	1.495978454
152	1.495858472
153	1.495653649
154	1.495511778
155	1.494998458
156	1.494895157
157	1.49484049
158	1.494711545
159	1.494460785
160	1.49411435
161	1.493693579
162	1.493260645
163	1.493194871
164	1.492984285
165	1.492726734
166	1.492288111
167	1.492132497
168	1.491768553
169	1.491483014
170	1.49122519
171	1.491149563
172	1.491059954
173	1.490947569
174	1.490840465
175	1.490503087
176	1.490447783
177	1.490225429
178	1.489915596
179	1.489666538
180	1.489486188
181	1.489164839
182	1.48913196
183	1.488782991
184	1.488507463
185	1.488370934
186	1.488271291
187	1.488129533
188	1.48804376
189	1.487962465
190	1.487765774
191	1.487640795
192	1.487597185
193	1.487502818
194	1.487400396
195	1.487252627
196	1.487127488
197	1.487021647
198	1.486867927
199	1.486776137
200	1.486599948
201	1.486437244
202	1.486314232
203	1.486212012
204	1.485910745
205	1.48579904
206	1.485723802
207	1.485703724
208	1.485604653
209	1.485413776
210	1.485320097
211	1.485113596
212	1.485049353
213	1.484688948
214	1.484663112
215	1.484570277
216	1.484403966
217	1.4843451
218	1.484200726
219	1.484051167
220	1.483931263
221	1.483893293
222	1.483746421
223	1.483712268
224	1.483599891
225	1.483564063
226	1.483463835
227	1.483379475
228	1.483332226
229	1.483208325
230	1.483140555
231	1.482864676
232	1.482664365
233	1.482389549
234	1.482310783
235	1.482178591
236	1.48205067
237	1.481966983
238	1.481866462
239	1.48177134
240	1.481573028
241	1.481438894
242	1.481348268
243	1.481232496
244	1.481000559
245	1.48093221
246	1.480860904
247	1.48079418
248	1.480754835
249	1.480534197
250	1.480467425
251	1.480357438
252	1.48016837
253	1.480107031
254	1.480062582
255	1.479727903
256	1.47970391
257	1.479617378
258	1.479565788
259	1.479418113
260	1.479340355
261	1.479038011
262	1.478888794
263	1.478819587
264	1.478750443
265	1.478709328
266	1.478574838
267	1.47845192
268	1.478400562
269	1.478314435
270	1.478156557
271	1.47809479
272	1.477973478
273	1.477857122
274	1.477745446
275	1.477502989
276	1.47732341
277	1.477307956
278	1.477226088
279	1.477154914
280	1.477033856
281	1.4769132
282	1.476812973
283	1.476706802
284	1.476623783
285	1.476567181
286	1.476489767
287	1.476472297
288	1.476362466
289	1.476291118
290	1.476191619
291	1.476155456
292	1.476095958
293	1.476080451
294	1.475963881
295	1.475830074
296	1.475723952
297	1.475565521
298	1.475439827
299	1.475330212
300	1.475012035
301	1.474955312
302	1.474949836
303	1.474797764
304	1.474751793
305	1.474657391
306	1.47462363
307	1.474470288
308	1.474385196
309	1.474318819
310	1.474197249
311	1.474173103
312	1.473973593
313	1.473886649
314	1.473763734
315	1.473688037
316	1.47363118
317	1.473556343
318	1.473470078
319	1.473394745
320	1.473284044
321	1.473252106
322	1.473225943
323	1.473167759
324	1.473095926
325	1.473017448
326	1.472978859
327	1.472667055
328	1.472527429
329	1.472482841
330	1.472409046
331	1.472354051
332	1.472297042
333	1.472236975
334	1.472172927
335	1.472157111
336	1.472131858
337	1.472061778
338	1.472035075
339	1.471986804
340	1.471894779
341	1.471836046
342	1.471693279
343	1.471582155
344	1.47155777
345	1.471505471
346	1.471390826
347	1.471212758
348	1.471168403
349	1.471107763
350	1.471041593
351	1.471006945
352	1.470938358
353	1.470900648
354	1.470812546
355	1.470772546
356	1.47065191
357	1.470601932
358	1.470537181
359	1.470425102
360	1.470356653
361	1.470280814
362	1.470208925
363	1.470143727
364	1.470062064
365	1.470002601
366	1.46988022
367	1.46976043
368	1.469738782
369	1.469681321
370	1.469603271
371	1.469527459
372	1.469493969
373	1.46945119
374	1.469351773
375	1.469278685
376	1.469205141
377	1.469103402
378	1.469073794
379	1.468974082
380	1.46893596
381	1.468890397
382	1.468787959
383	1.468766906
384	1.46869698
385	1.468674798
386	1.468617595
387	1.468584295
388	1.468475904
389	1.468412366
390	1.468392648
391	1.468356007
392	1.468279431
393	1.468222103
394	1.46813872
395	1.468019173
396	1.467910566
397	1.467717374
398	1.4675989
399	1.467551834
400	1.467523064
401	1.467391806
402	1.467286919
403	1.467220233
404	1.467189632
405	1.46709031
406	1.467025594
407	1.466969754
408	1.466863853
409	1.466837112
410	1.466790096
411	1.466764843
412	1.466692495
413	1.466620255
414	1.46654675
415	1.466453153
416	1.46640231
417	1.466183411
418	1.466015525
419	1.465935232
420	1.465880316
421	1.465780001
422	1.465734897
423	1.465639118
424	1.465508689
425	1.465344364
426	1.465136288
427	1.465088693
428	1.464958233
429	1.464921888
430	1.464831611
431	1.46479757
432	1.464718887
433	1.464689822
434	1.464563932
435	1.464417459
436	1.464365877
437	1.464263044
438	1.464215804
439	1.463987713
440	1.463948564
441	1.463877804
442	1.46382288
443	1.463764607
444	1.463672303
445	1.463618968
446	1.463566146
447	1.463411754
448	1.463346027
449	1.463262602
450	1.463189863
451	1.463158984
452	1.463097763
453	1.463029845
454	1.462963038
455	1.462878458
456	1.462818086
457	1.462763373
458	1.462677173
459	1.462644695
460	1.462557371
461	1.462453481
462	1.462371916
463	1.462304881
464	1.462241386
465	1.462163102
466	1.462109806
467	1.461961278
468	1.46189936
469	1.461811864
470	1.461724218
471	1.461655833
472	1.461523792
473	1.461445414
474	1.461327176
475	1.46129755
476	1.461263211
477	1.461218559
478	1.461153337
479	1.461129253
480	1.46108744
481	1.460929871
482	1.460886041
483	1.460767629
484	1.460680844
485	1.46052859
486	1.460489573
487	1.460427206
488	1.460376259
489	1.460271801
490	1.460150378
491	1.460117352
492	1.460051049
493	1.459973038
494	1.459962321
495	1.459813669
496	1.459763891
497	1.459713302
498	1.459642759
499	1.459598
500	1.459555069
501	1.459489451
502	1.459437281
503	1.45937914
504	1.459272972
505	1.459169174
506	1.459083026
507	1.459028281
508	1.459002094
509	1.458924697
510	1.458634063
511	1.458615118
512	1.458579441
513	1.458467604
514	1.458389995
515	1.458349361
516	1.458204544
517	1.458164335
518	1.458047269
519	1.457945994
520	1.457888026
521	1.457808226
522	1.457746046
523	1.457645313
524	1.457480092
525	1.457364394
526	1.457336951
527	1.457312646
528	1.457189478
529	1.457089248
530	1.45703006
531	1.456899017
532	1.456807352
533	1.456677318
534	1.456599147
535	1.456430618
536	1.456326336
537	1.456201694
538	1.456163778
539	1.456082171
540	1.455938724
541	1.455838981
542	1.455823947
543	1.455765034
544	1.45570928
545	1.455690575
546	1.455657426
547	1.455560019
548	1.455491082
549	1.455405789
550	1.455378277
551	1.455332065
552	1.455314254
553	1.45517994
554	1.455116669
555	1.454987893
556	1.454895495
557	1.454845662
558	1.454794476
559	1.454752092
560	1.45466289
561	1.454533862
562	1.454486966
563	1.454459493
564	1.454346897
565	1.45432151
566	1.454270318
567	1.454247459
568	1.454166182
569	1.454115108
570	1.453940701
571	1.45384481
572	1.453812785
573	1.453707082
574	1.453646607
575	1.453618966
576	1.453557667
577	1.453473274
578	1.453375856
579	1.453315462
580	1.453231934
581	1.453167543
582	1.453106045
583	1.452970234
584	1.452903465
585	1.452891379
586	1.452772103
587	1.452734579
588	1.452695619
589	1.452659186
590	1.452602341
591	1.452438901
592	1.45237908
593	1.452298052
594	1.452197787
595	1.452127193
596	1.452077986
597	1.452007465
598	1.451978214
599	1.451895438
600	1.451843028
601	1.451823322
602	1.451775878
603	1.451697101
604	1.451638966
605	1.45153558
606	1.451477337
607	1.451462059
608	1.451257143
609	1.451213759
610	1.45115699
611	1.451122161
612	1.451088887
613	1.451057967
614	1.451018272
615	1.450941536
616	1.450817375
617	1.450779562
618	1.450743985
619	1.450694433
620	1.450622459
621	1.450563501
622	1.450488397
623	1.450400453
624	1.450316204
625	1.45026265
626	1.450164664
627	1.450060726
628	1.449983963
629	1.449923292
630	1.449885951
631	1.449844108
632	1.449831214
633	1.449804499
634	1.449770127
635	1.449665641
636	1.449567697
637	1.449467762
638	1.449433807
639	1.449336403
640	1.449292107
641	1.449208757
642	1.449162953
643	1.449129186
644	1.449064677
645	1.449031155
646	1.449005274
647	1.448928699
648	1.448889968
649	1.448856592
650	1.448839441
651	1.448736382
652	1.448693524
653	1.448667036
654	1.448621994
655	1.448568163
656	1.448485273
657	1.448342807
658	1.448175666
659	1.448015479
660	1.447956585
661	1.447919973
662	1.447861086
663	1.447747425
664	1.447703708
665	1.447624725
666	1.447592371
667	1.447552974
668	1.447500345
669	1.447423589
670	1.447339341
671	1.447211638
672	1.447176915
673	1.447109862
674	1.447057622
675	1.446948454
676	1.446893353
677	1.446788684
678	1.446696792
679	1.44659189
680	1.44653347
681	1.44647328
682	1.446360856
683	1.44628389
684	1.446234769
685	1.44620803
686	1.446074183
687	1.446009474
688	1.445955207
689	1.445889614
690	1.445830071
691	1.44577038
692	1.445725724
693	1.445635804
694	1.445534834
695	1.4455007
696	1.445430583
697	1.445343501
698	1.445244076
699	1.445233547
700	1.445095199
701	1.445062784
702	1.445032113
703	1.444980295
704	1.4449264
705	1.444884246
706	1.444755868
707	1.444696195
708	1.444656124
709	1.444629684
710	1.444557564
711	1.444513492
712	1.44443702
713	1.444390483
714	1.444255169
715	1.444144057
716	1.444035554
717	1.444004932
718	1.443915138
719	1.443802717
720	1.443774015
721	1.443694147
722	1.443656831
723	1.443615221
724	1.443534464
725	1.443456348
726	1.443348816
727	1.44332792
728	1.44323547
729	1.443199034
730	1.443048537
731	1.442966533
732	1.442929613
733	1.442889166
734	1.442810449
735	1.442701347
736	1.442642239
737	1.442606756
738	1.442594404
739	1.442511665
740	1.442450818
741	1.442355411
742	1.442313671
743	1.442178264
744	1.442149531
745	1.44201565
746	1.441914843
747	1.441896874
748	1.44173602
749	1.441694384
750	1.441517874
751	1.441426233
752	1.441388262
753	1.441335807
754	1.44125286
755	1.441175478
756	1.441126307
757	1.441080689
758	1.441006685
759	1.440900809
760	1.440878913
761	1.440779134
762	1.440717968
763	1.440513134
764	1.44044568
765	1.440354978
766	1.440239118
767	1.440177409
768	1.440112294
769	1.439998896
770	1.439985816
771	1.439936277
772	1.439881637
773	1.439842548
774	1.439737312
775	1.439672
776	1.439634856
777	1.439478697
778	1.439418831
779	1.439381865
780	1.439327046
781	1.439311565
782	1.439254216
783	1.439159229
784	1.439065931
785	1.438988904
786	1.438876613
787	1.438778299
788	1.438716592
789	1.438680907
790	1.438526103
791	1.438455741
792	1.438354172
793	1.438312584
794	1.43819284
795	1.438114439
796	1.438090171
797	1.43802783
798	1.437916986
799	1.437887311
800	1.437735434
801	1.437704036
802	1.437627401
803	1.437554618
804	1.437515292
805	1.437470854
806	1.437454444
807	1.4374181
808	1.437393809
809	1.437341682
810	1.437286835
811	1.437223855
812	1.437112224
813	1.437084682
814	1.437052994
815	1.436984315
816	1.436874395
817	1.436819247
818	1.436736485
819	1.436670671
820	1.436616309
821	1.436555656
822	1.436465698
823	1.436427588
824	1.436367764
825	1.436273538
826	1.436207692
827	1.436065654
828	1.436002753
829	1.435981021
830	1.435857109
831	1.435799042
832	1.435767682
833	1.435701016
834	1.435679886
835	1.435588036
836	1.435500658
837	1.435388641
838	1.435320671
839	1.435274245
840	1.435209622
841	1.435153534
842	1.435032632
843	1.43501229
844	1.434839265
845	1.434827714
846	1.434711402
847	1.434687734
848	1.434627587
849	1.434539651
850	1.434518736
851	1.434483697
852	1.434450022
853	1.43440427
854	1.434305044
855	1.434157791
856	1.434077278
857	1.434053488
858	1.434017053
859	1.433923215
860	1.433830797
861	1.433771326
862	1.433743699
863	1.433611861
864	1.433520708
865	1.433464522
866	1.433334037
867	1.43317711
868	1.433148392
869	1.433123205
870	1.433078885
871	1.433017597
872	1.432873304
873	1.432790893
874	1.432699075
875	1.432638485
876	1.432518023
877	1.432476903
878	1.432389845
879	1.432325434
880	1.432198628
881	1.432148047
882	1.432098073
883	1.432009802
884	1.431962916
885	1.431926767
886	1.431896327
887	1.431819894
888	1.431719146
889	1.431681951
890	1.431542729
891	1.431457761
892	1.431411454
893	1.431361615
894	1.431240081
895	1.431119193
896	1.431075591
897	1.431027744
898	1.430968287
899	1.430933128
900	1.430895167
901	1.430763847
902	1.430721475
903	1.430614228
904	1.430513489
905	1.430450077
906	1.430360142
907	1.430168571
908	1.430093008
909	1.429990633
910	1.429933754
911	1.42989294
912	1.429795478
913	1.429739326
914	1.42968238
915	1.42962864
916	1.429556347
917	1.429393025
918	1.429307805
919	1.429228802
920	1.429156279
921	1.42910614
922	1.429031299
923	1.428996446
924	1.428966664
925	1.428753026
926	1.428705329
927	1.428627991
928	1.428527878
929	1.428481983
930	1.428422698
931	1.428332831
932	1.428322021
933	1.428272058
934	1.428180678
935	1.428119432
936	1.428027833
937	1.427991138
938	1.42789085
939	1.427844708
940	1.427764003
941	1.427637633
942	1.427541282
943	1.427403119
944	1.42734393
945	1.427287565
946	1.427165869
947	1.427105038
948	1.42703709
949	1.426996565
950	1.4269103
951	1.426809516
952	1.426738996
953	1.426638213
954	1.426557561
955	1.426501542
956	1.426310882
957	1.426264363
958	1.426185031
959	1.426123436
960	1.426078832
961	1.426038755
962	1.425961474
963	1.425870381
964	1.42576735
965	1.4257379
966	1.425685352
967	1.425669596
968	1.425609431
969	1.425576922
970	1.425496946
971	1.425399687
972	1.425267045
973	1.425203996
974	1.425150191
975	1.425115829
976	1.425074798
977	1.4248661
978	1.424757259
979	1.424703212
980	1.424686472
981	1.424594334
982	1.424506263
983	1.424405026
984	1.424311522
985	1.424250631
986	1.424181229
987	1.424054371
988	1.423960249
989	1.423843045
990	1.423745349
991	1.423701052
992	1.423660206
993	1.42359739
994	1.423452145
995	1.423407075
996	1.423359676
997	1.423201733
998	1.423100255
999	1.422869868
