iter	MultiClass
0	2.225219251
1	2.106020497
2	2.017700374
3	1.948992316
4	1.894497064
5	1.849531628
6	1.811796078
7	1.780452371
8	1.754100656
9	1.729237412
10	1.710912762
11	1.694843705
12	1.678420265
13	1.666122719
14	1.652763136
15	1.641228135
16	1.631077769
17	1.622619935
18	1.614859782
19	1.608136695
20	1.602194291
21	1.59671518
22	1.592686944
23	1.587941148
24	1.585173545
25	1.582172824
26	1.578440348
27	1.575740194
28	1.573962981
29	1.570647736
30	1.56921914
31	1.567703781
32	1.565269704
33	1.562890087
34	1.561112158
35	1.559140556
36	1.556919891
37	1.555146835
38	1.553431158
39	1.552306829
40	1.551246324
41	1.550568594
42	1.548671449
43	1.547593362
44	1.546599063
45	1.545864295
46	1.545090817
47	1.544576244
48	1.542534888
49	1.541906951
50	1.541353808
51	1.539381008
52	1.538179158
53	1.537488656
54	1.536100736
55	1.534937219
56	1.53406464
57	1.532822628
58	1.531851929
59	1.531501086
60	1.530988453
61	1.530652508
62	1.529933535
63	1.529151007
64	1.528554299
65	1.527573987
66	1.527239081
67	1.526669411
68	1.52605924
69	1.525740151
70	1.525686438
71	1.525250759
72	1.525086962
73	1.524611806
74	1.524087786
75	1.523662095
76	1.523469422
77	1.523186786
78	1.522896488
79	1.521893128
80	1.521471901
81	1.520834325
82	1.520455408
83	1.51882496
84	1.518726894
85	1.518323002
86	1.518268102
87	1.518091543
88	1.517436787
89	1.517217008
90	1.516821307
91	1.516463905
92	1.515964788
93	1.515793239
94	1.515667587
95	1.515424287
96	1.515199709
97	1.515027226
98	1.514920663
99	1.514002497
100	1.513792199
101	1.513418033
102	1.513116436
103	1.512817209
104	1.512591682
105	1.512386766
106	1.512098951
107	1.511652827
108	1.511355921
109	1.511104808
110	1.511026085
111	1.510700884
112	1.510149974
113	1.509652715
114	1.509152716
115	1.508969688
116	1.508885676
117	1.508779473
118	1.50807232
119	1.50759587
120	1.507226052
121	1.506921159
122	1.506541172
123	1.506243114
124	1.5059139
125	1.505799906
126	1.505370887
127	1.504507559
128	1.504365532
129	1.503824792
130	1.503501811
131	1.502694601
132	1.50234703
133	1.502135363
134	1.501570224
135	1.501204175
136	1.500973048
137	1.500686313
138	1.500310799
139	1.499783569
140	1.499481131
141	1.498952415
142	1.498728856
143	1.498330197
144	1.49816588
145	1.497797242
146	1.497274901
147	1.496810421
148	1.496549028
149	1.496294801
150	1.496034439
151	1.495452982
152	1.495128365
153	1.494898444
154	1.494711929
155	1.494382498
156	1.494113061
157	1.493846187
158	1.493746485
159	1.493369655
160	1.492779946
161	1.492555514
162	1.492514478
163	1.492401032
164	1.492228563
165	1.49205686
166	1.49193402
167	1.491753711
168	1.491536222
169	1.491197882
170	1.491022955
171	1.490802733
172	1.490713779
173	1.490637637
174	1.490276886
175	1.490191244
176	1.490091029
177	1.489976422
178	1.489865944
179	1.489537043
180	1.489382158
181	1.489281666
