iter	Passed	Remaining
0	5816	5811102
1	11887	5932069
2	17331	5759849
3	23339	5811418
4	28481	5667894
5	34732	5753996
6	40927	5805848
7	46815	5805128
8	52651	5797494
9	57449	5687456
10	63559	5714534
11	69024	5683025
12	73950	5614513
13	79844	5623313
14	86444	5676510
15	92412	5683348
16	99125	5731784
17	104384	5694750
18	110449	5702689
19	116513	5709181
20	122392	5705804
21	128083	5693881
22	134389	5708643
23	140754	5724030
24	147473	5751456
25	152878	5727066
26	157799	5686641
27	164540	5711914
28	171484	5741777
29	177168	5728435
30	183835	5746347
31	190565	5764602
32	196602	5761057
33	202972	5766803
34	209039	5763530
35	214497	5743775
36	220357	5735258
37	226711	5739391
38	233003	5741452
39	239928	5758281
40	245851	5750532
41	252453	5758343
42	258412	5751181
43	263347	5721824
44	269448	5718289
45	275587	5715454
46	281804	5714025
47	288179	5715568
48	292830	5683302
49	298741	5676079
50	305118	5677606
51	309287	5638544
52	315919	5644829
53	322547	5650547
54	326881	5616416
55	332968	5612891
56	339058	5609328
57	345152	5605753
58	351703	5609369
59	358229	5612263
60	364438	5609969
61	370710	5608498
62	376798	5604130
63	383553	5609468
64	390282	5614066
65	396473	5610707
66	403412	5617672
67	409008	5605817
68	415462	5605738
69	422059	5607367
70	424364	5552605
71	430076	5543201
72	436920	5548290
73	443149	5545352
74	449726	5546623
75	456462	5549624
76	463338	5554043
77	469421	5548801
78	476084	5550297
79	482293	5546370
80	488434	5541625
81	494456	5535504
82	500546	5530139
83	505847	5516141
84	512704	5519108
85	519288	5518954
86	522633	5484651
87	529144	5483861
88	535663	5483029
89	541571	5475893
90	547487	5468860
91	553110	5458958
92	559639	5457988
93	566249	5457678
94	572694	5455669
95	578872	5451049
96	584692	5443069
97	591211	5441561
98	597767	5440284
99	602737	5424635
100	609198	5422468
101	615594	5419649
102	622212	5418689
103	628349	5413474
104	635084	5413339
105	642009	5414687
106	648105	5408953
107	654125	5402593
108	660670	5400530
109	666199	5390155
110	672788	5388371
111	678935	5382989
112	685109	5377807
113	690670	5367841
114	696813	5362433
115	703596	5361890
116	710013	5358476
117	719661	5379166
118	728560	5393796
119	736062	5397789
120	745035	5412280
121	754346	5428824
122	762637	5437664
123	772050	5454161
124	780755	5465286
125	789842	5478748
126	797220	5480105
127	802769	5468870
128	812378	5485130
129	819364	5483442
130	828427	5495448
131	835536	5494284
132	843228	5496833
133	853296	5514587
134	860527	5513747
135	867621	5511950
136	877316	5526451
137	884244	5523321
138	893553	5534887
139	901653	5538726
140	908998	5537797
141	917419	5543283
142	926166	5550522
143	933266	5547749
144	943252	5561935
145	952012	5568623
146	958538	5562132
147	964607	5553008
148	974530	5565944
149	983965	5575801
150	993037	5583368
151	999073	5573777
152	1006096	5569696
153	1015207	5577050
154	1023470	5579564
155	1032256	5584773
156	1039178	5579793
157	1048753	5588929
158	1057899	5595559
159	1066969	5601587
160	1074409	5598939
161	1083809	5606374
